query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	1.27227172811588e-08	1465	405	76	0.187654320987654	0.0518771331058021	GO:0001775	GO:BP	cell activation	17906	568	GO:0009987
query_1	TRUE	1.76798842961609e-08	1688	405	83	0.204938271604938	0.0491706161137441	GO:0002682	GO:BP	regulation of immune system process	17906	1352	GO:0002376|GO:0050789
query_1	TRUE	2.12177345297315e-08	754	405	50	0.123456790123457	0.0663129973474801	GO:0046649	GO:BP	lymphocyte activation	17906	14557	GO:0045321
query_1	TRUE	3.55421240960278e-08	1116	405	63	0.155555555555556	0.0564516129032258	GO:0050776	GO:BP	regulation of immune response	17906	15645	GO:0002682|GO:0006955|GO:0048583
query_1	TRUE	9.20985016464675e-08	1199	405	65	0.160493827160494	0.0542118432026689	GO:0002684	GO:BP	positive regulation of immune system process	17906	1354	GO:0002376|GO:0002682|GO:0048518
query_1	TRUE	1.04837542024336e-07	3235	405	127	0.31358024691358	0.039258114374034	GO:0002376	GO:BP	immune system process	17906	1047	GO:0008150
query_1	TRUE	1.81599426758812e-07	478	405	37	0.091358024691358	0.0774058577405858	GO:0042110	GO:BP	T cell activation	17906	11662	GO:0046649
query_1	TRUE	4.61377733118939e-07	1305	405	67	0.165432098765432	0.0513409961685824	GO:0045321	GO:BP	leukocyte activation	17906	13412	GO:0001775|GO:0002376
query_1	TRUE	2.31616483096125e-06	361	405	30	0.0740740740740741	0.0831024930747923	GO:0030098	GO:BP	lymphocyte differentiation	17906	7775	GO:0002521|GO:0046649
query_1	TRUE	7.39524975788507e-06	892	405	50	0.123456790123457	0.0560538116591928	GO:0050778	GO:BP	positive regulation of immune response	17906	15647	GO:0002684|GO:0006955|GO:0048584|GO:0050776
