chr5	79709442	79710839	446232
chr1	186802202	186804707	40013
chr2	203815245	203816243	309621
chr1	78007998	78010081	20559
chr3	122039802	122042325	378704
chr14	22712002	22713567	160459
chr13	42181674	42186271	146509
chr8	68228289	68230086	551268
chr8	59823289	59823937	549760
chr11	72640507	72641904	98963
chr4	124843185	124846183	418439
chr6	73620368	73622365	483918
chr1	85378216	85379998	21960
chr1	171881709	171883507	36383
chr15	58970898	58971697	186672
chr1	81678991	81679599	21202
chr5	178782610	178784607	467119
chr8	60219089	60220999	549858
chr16	22407602	22410799	203188
chr5	138866802	138869105	457809
chr2	173158360	173159557	302876
chr12	1386602	1387799	112977
chr5	24904641	24905839	435550
chr4	26624487	26626285	402125
chr20	3834402	3835799	320402
chr7	74106202	74107381	519790
chr1	192194509	192195707	40731
chr1	110808197	110811035	27101
chr1	218512583	218514117	47023
chr15	59970448	59971866	186928
chr4	55010629	55011799	406104
chr1	204452402	204454799	43580
chr5	179026809	179027607	467178
chr11	71909507	71911504	98714
chr16	56441935	56443799	208201
chr12	28262802	28263800	118891
chr13	29044350	29046799	143664
chr5	123597256	123600454	454265
chr2	109714173	109716170	289635
chr3	122346044	122348241	378782
chr12	89452402	89454551	130913
chr20	2926802	2929399	320140
chr2	163149737	163151135	300544
chr13	94254326	94256123	155235
chr2	9486756	9488953	268689
chr17	53144758	53147956	229081
chr12	72003787	72004186	127894
chr19	55758402	55760781	265945
chr5	142081209	142082008	458695
chr11	59658707	59659999	95055
