chr4	153814010	153814600	423654
chr1	245485995	245486341	53894
chr14	102322016	102323015	177038
chr5	134485632	134487031	456699
chr12	112466810	112467609	136268
chr11	34911464	34912028	91373
chr4	122034622	122035225	417842
chr21	47249330	47249929	344241
chr8	8846717	8847630	539786
chr7	42941995	42942394	514659
chr2	158977001	158978200	299577
chr11	70433106	70433389	98296
chr16	30496801	30497800	204914
chr7	55493112	55493394	517132
chr16	15923201	15923800	201747
chr5	351774	352195	430519
chr10	26791401	26793200	60662
chr7	133993724	133994923	532398
chr1	87371621	87373194	22402
chr8	19408231	19409030	541988
chr2	86401479	86402278	285493
chr8	41925631	41926630	546980
chr17	14251227	14251826	219968
chr15	77336601	77337745	191569
chr3	32599072	32600000	361359
chr7	114491777	114492176	528251
chr4	160270010	160270886	424959
chr11	77777506	77777905	100377
chr4	146720201	146722044	422114
chr2	177161467	177162349	303965
chr10	134457670	134458069	83337
chr2	230265645	230267000	315548
chr11	8970257	8971038	85874
chr4	175449010	175449624	427348
chr7	77033012	77034411	520381
chr3	195281975	195283628	395217
chr3	195282981	195284174	395218
chr6	2007362	2007776	468162
chr13	97667601	97668545	155951
chr13	21036497	21036896	141795
chr2	216102845	216103844	312144
chr6	145079611	145080210	498086
chr8	62525888	62526807	550306
chr2	63713879	63714463	280876
chr7	130371524	130372723	531410
chr21	17198130	17198855	337738
chr21	17198484	17198855	337740
chr4	23271201	23271686	401259
chr5	56035864	56036343	441189
chr7	37630195	37630963	513363
