chr1	245485995	245486341	53894	chr1	245329342	245844692	1_internal_26219
chr2	158977001	158978200	299577	chr2	158886078	159367619	2_internal_20079
chr2	216102845	216103844	312144	chr2	215205800	216179077	2_internal_20283
chr2	230265645	230267000	315548	chr2	230147270	230283504	2_internal_15427
chr2	230265645	230267000	315548	chr2	230147311	230283320	2_internal_13513
chr3	32599072	32600000	361359	chr3	32591081	32628407	3_internal_13990
chr3	195281975	195283628	395217	chr3	195254771	195315517	3_internal_11981
chr3	195282981	195284174	395218	chr3	195254771	195315517	3_internal_11981
chr4	23271201	23271686	401259	chr4	23271034	23305464	4_internal_8258
chr4	23271201	23271686	401259	chr4	22789189	23948480	4_internal_9693
chr4	122034622	122035225	417842	chr4	121842374	122035239	4_internal_7701
chr4	122034622	122035225	417842	chr4	121012524	122302344	4_internal_11176
chr4	146720201	146722044	422114	chr4	146537849	146774376	4_internal_11228
chr4	175449010	175449624	427348	chr4	175341126	175619188	4_internal_11420
chr5	351774	352195	430519	chr5	320521	449583	5_internal_11969
chr5	56035864	56036343	441189	chr5	56012533	56061971	5_internal_11394
chr5	56035864	56036343	441189	chr5	55859625	56154923	5_internal_9591
chr5	56035864	56036343	441189	chr5	55961728	56116307	5_internal_9073
chr5	134485632	134487031	456699	chr5	134440196	134497848	5_internal_8731
chr7	37630195	37630963	513363	chr7	37622762	37631365	7_internal_8965
chr7	42941995	42942394	514659	chr7	42925759	42952416	7_internal_11533
chr7	133993724	133994923	532398	chr7	133805645	134041909	7_internal_12871
chr8	8846717	8847630	539786	chr8	8701834	9048717	8_internal_11746
chr8	8846717	8847630	539786	chr8	8639625	10220992	8_internal_7304
chr8	19408231	19409030	541988	chr8	19212123	19616576	8_internal_11060
chr10	26791401	26793200	60662	chr10	26787741	26830187	10_internal_11844
chr11	34911464	34912028	91373	chr11	34671110	34932375	11_internal_11096
chr11	70433106	70433389	98296	chr11	70338518	70488303	11_internal_10504
chr13	97667601	97668545	155951	chr13	97633966	97668614	13_internal_4164
chr14	102322016	102323015	177038	chr14	102315498	102351252	14_internal_5521
chr15	77336601	77337745	191569	chr15	77332913	77337501	15_internal_6094
chr16	15923201	15923800	201747	chr16	15923068	15964670	16_internal_6863
chr17	14251227	14251826	219968	chr17	13283115	15061145	17_internal_12714
chr17	14251227	14251826	219968	chr17	14097305	15089407	17_internal_9423
chr21	17198130	17198855	337738	chr21	17179687	17198743	21_internal_2515
chr21	17198484	17198855	337740	chr21	17179687	17198743	21_internal_2515
