chr1	85378216	85379998	21960	chr1	85354240	85457813	1_internal_19130
chr1	85378216	85379998	21960	chr1	85313090	85664061	1_internal_18014
chr2	109714173	109716170	289635	chr2	109573264	109782039	2_internal_14894
chr2	109714173	109716170	289635	chr2	109573732	109791072	2_internal_13496
chr2	163149737	163151135	300544	chr2	162163590	163174944	2_internal_15081
chr2	203815245	203816243	309621	chr2	203527811	204367493	2_internal_14280
chr2	203815245	203816243	309621	chr2	203500641	205838007	2_internal_13437
chr3	122039802	122042325	378704	chr3	122030921	122052179	3_internal_11122
chr3	122346044	122348241	378782	chr3	122278870	122366405	3_internal_11520
chr3	122346044	122348241	378782	chr3	122281640	122403377	3_internal_10851
chr6	73620368	73622365	483918	chr6	73289450	73627041	6_internal_15123
chr8	59823289	59823937	549760	chr8	59810392	60214267	8_internal_8699
chr8	59823289	59823937	549760	chr8	59634165	60021142	8_internal_7800
chr14	22712002	22713567	160459	chr14	22385944	23041132	14_internal_7338
chr14	22712002	22713567	160459	chr14	22391093	23040238	14_internal_5798
chr14	22712002	22713567	160459	chr14	22693179	22868328	14_internal_5993
chr15	58970898	58971697	186672	chr15	58970660	59013924	15_internal_6014
chr15	58970898	58971697	186672	chr15	58520065	59053185	15_internal_9087
chr16	56441935	56443799	208201	chr16	56296225	56901967	16_internal_5630
