chr1	78007998	78010081	20559	72	chr1	78004518	78010028	1_internal_19116
chr1	78007998	78010081	20559	72	chr1	77877757	78022522	1_internal_25853
chr1	81678991	81679599	21202	70	chr1	81585959	81780748	1_internal_22517
chr1	81678991	81679599	21202	72	chr1	81357869	81937004	1_internal_25423
chr1	85378216	85379998	21960	73	chr1	85354240	85457813	1_internal_19130
chr1	85378216	85379998	21960	72	chr1	85324491	85379929	1_internal_17378
chr1	85378216	85379998	21960	73	chr1	85313090	85664061	1_internal_18014
chr1	110808197	110811035	27101	70	chr1	110786003	110849330	1_internal_17720
chr1	110808197	110811035	27101	70	chr1	110749694	110855734	1_internal_23164
chr1	110808197	110811035	27101	72	chr1	110804337	110956246	1_internal_20159
chr1	186802202	186804707	40013	70	chr1	185295623	192912803	1_internal_17069
chr1	186802202	186804707	40013	72	chr1	185305597	192132701	1_internal_16533
chr1	192194509	192195707	40731	72	chr1	192017224	192195559	1_internal_20211
chr1	192194509	192195707	40731	70	chr1	185295623	192912803	1_internal_17069
chr1	204452402	204454799	43580	70	chr1	204429847	204459987	1_internal_19582
chr1	204452402	204454799	43580	72	chr1	204421981	204503008	1_internal_21975
chr2	9486756	9488953	268689	72	chr2	9282677	9488156	2_internal_19800
chr2	109714173	109716170	289635	70	chr2	109644207	109717650	2_internal_15138
chr2	109714173	109716170	289635	73	chr2	109573264	109782039	2_internal_14894
chr2	109714173	109716170	289635	73	chr2	109573732	109791072	2_internal_13496
chr2	163149737	163151135	300544	73	chr2	162163590	163174944	2_internal_15081
chr2	173158360	173159557	302876	70	chr2	173043745	173331395	2_internal_20962
chr2	173158360	173159557	302876	72	chr2	173037297	173205581	2_internal_15991
chr2	173158360	173159557	302876	72	chr2	173043745	173366947	2_internal_18862
chr2	203815245	203816243	309621	72	chr2	203452919	204193980	2_internal_21775
chr2	203815245	203816243	309621	73	chr2	203527811	204367493	2_internal_14280
chr2	203815245	203816243	309621	73	chr2	203500641	205838007	2_internal_13437
chr3	122039802	122042325	378704	73	chr3	122030921	122052179	3_internal_11122
chr3	122039802	122042325	378704	70	chr3	122024428	122076245	3_internal_17864
chr3	122039802	122042325	378704	72	chr3	122024428	122073164	3_internal_14010
chr3	122346044	122348241	378782	70	chr3	122278870	122408433	3_internal_17125
chr3	122346044	122348241	378782	72	chr3	122278870	122403377	3_internal_11672
chr3	122346044	122348241	378782	73	chr3	122278870	122366405	3_internal_11520
chr3	122346044	122348241	378782	73	chr3	122281640	122403377	3_internal_10851
chr4	26624487	26626285	402125	72	chr4	26319355	26853015	4_internal_8968
chr4	55010629	55011799	406104	70	chr4	54964840	55100979	4_internal_8287
chr5	79709442	79710839	446232	70	chr5	79658757	79764671	5_internal_11057
chr5	178782610	178784607	467119	72	chr5	178770258	178940716	5_internal_13331
chr5	178782610	178784607	467119	70	chr5	177754502	179013362	5_internal_14119
chr5	178782610	178784607	467119	72	chr5	178050859	179162004	5_internal_8525
chr5	179026809	179027607	467178	70	chr5	178934475	179038520	5_internal_13132
chr5	179026809	179027607	467178	70	chr5	178976255	179052171	5_internal_8317
chr5	179026809	179027607	467178	72	chr5	178050859	179162004	5_internal_8525
chr6	73620368	73622365	483918	72	chr6	73617657	73627041	6_internal_10872
chr6	73620368	73622365	483918	72	chr6	73523281	73738438	6_internal_15614
chr6	73620368	73622365	483918	73	chr6	73289450	73627041	6_internal_15123
chr8	59823289	59823937	549760	73	chr8	59810392	60214267	8_internal_8699
chr8	59823289	59823937	549760	73	chr8	59634165	60021142	8_internal_7800
chr11	71909507	71911504	98714	70	chr11	71799793	71929780	11_internal_11646
chr12	1386602	1387799	112977	72	chr12	1386663	1391739	12_internal_10918
chr12	89452402	89454551	130913	70	chr12	89444822	89729706	12_internal_13062
chr13	29044350	29046799	143664	72	chr13	29003441	29051046	13_internal_4338
chr13	29044350	29046799	143664	70	chr13	28947133	29211903	13_internal_5035
chr13	29044350	29046799	143664	70	chr13	28903550	30071971	13_internal_6135
chr13	42181674	42186271	146509	72	chr13	41917726	42229862	13_internal_5292
chr14	22712002	22713567	160459	73	chr14	22385944	23041132	14_internal_7338
chr14	22712002	22713567	160459	73	chr14	22391093	23040238	14_internal_5798
chr14	22712002	22713567	160459	73	chr14	22693179	22868328	14_internal_5993
chr15	58970898	58971697	186672	73	chr15	58970660	59013924	15_internal_6014
chr15	58970898	58971697	186672	73	chr15	58520065	59053185	15_internal_9087
chr16	22407602	22410799	203188	70	chr16	21512813	22650276	16_internal_5868
chr16	56441935	56443799	208201	73	chr16	56296225	56901967	16_internal_5630
chr19	55758402	55760781	265945	70	chr19	52596917	58952663	19_internal_10260
chr20	2926802	2929399	320140	72	chr20	2801443	3029203	20_internal_4968
chr20	2926802	2929399	320140	72	chr20	2845858	2969197	20_internal_7367
chr20	3834402	3835799	320402	70	chr20	3818716	3861394	20_internal_7304
