chr2	158977001	158978200	299577	chr2	158865560	159476675	2_internal_21112
chr2	230265645	230267000	315548	chr2	230265691	230283504	2_internal_14423
chr3	32599072	32600000	361359	chr3	32586140	32704900	3_internal_14749
chr4	122034622	122035225	417842	chr4	121579580	122188961	4_internal_11343
chr4	146720201	146722044	422114	chr4	146706539	146744473	4_internal_7742
chr4	153814010	153814600	423654	chr4	153698827	153819795	4_internal_7900
chr4	175449010	175449624	427348	chr4	175341126	175619188	4_internal_11102
chr5	351774	352195	430519	chr5	320521	449583	5_internal_12144
chr5	56035864	56036343	441189	chr5	56028784	56154923	5_internal_9442
chr5	134485632	134487031	456699	chr5	134364259	134608133	5_internal_9934
chr7	42941995	42942394	514659	chr7	42923035	42971541	7_internal_9722
chr7	55493112	55493394	517132	chr7	55376079	55778449	7_internal_10692
chr7	55493112	55493394	517132	chr7	55432029	61983228	7_internal_12399
chr7	77033012	77034411	520381	chr7	76959045	77046555	7_internal_8660
chr7	77033012	77034411	520381	chr7	77028273	77059347	7_internal_9020
chr8	8846717	8847630	539786	chr8	8676885	8881577	8_internal_10969
chr8	8846717	8847630	539786	chr8	8701834	8853757	8_internal_7898
chr8	8846717	8847630	539786	chr8	8133917	8850693	8_internal_9657
chr8	19408231	19409030	541988	chr8	19265377	19706550	8_internal_11182
chr10	26791401	26793200	60662	chr10	26784292	26847172	10_internal_9839
chr10	26791401	26793200	60662	chr10	26624004	26849929	10_internal_10940
chr10	134457670	134458069	83337	chr10	134351443	134539583	10_internal_11249
chr13	21036497	21036896	141795	chr13	20744388	21051948	13_internal_5443
chr13	21036497	21036896	141795	chr13	20787060	21052882	13_internal_5557
chr17	14251227	14251826	219968	chr17	13503690	15089407	17_internal_12693
