chr1	78007998	78010081	20559	chr1	78004518	78010028	1_internal_19116
chr1	78007998	78010081	20559	chr1	77877757	78022522	1_internal_25853
chr1	81678991	81679599	21202	chr1	81357869	81937004	1_internal_25423
chr1	85378216	85379998	21960	chr1	85324491	85379929	1_internal_17378
chr1	110808197	110811035	27101	chr1	110804337	110956246	1_internal_20159
chr1	186802202	186804707	40013	chr1	185305597	192132701	1_internal_16533
chr1	192194509	192195707	40731	chr1	192017224	192195559	1_internal_20211
chr1	204452402	204454799	43580	chr1	204421981	204503008	1_internal_21975
chr2	9486756	9488953	268689	chr2	9282677	9488156	2_internal_19800
chr2	173158360	173159557	302876	chr2	173037297	173205581	2_internal_15991
chr2	173158360	173159557	302876	chr2	173043745	173366947	2_internal_18862
chr2	203815245	203816243	309621	chr2	203452919	204193980	2_internal_21775
chr3	122039802	122042325	378704	chr3	122024428	122073164	3_internal_14010
chr3	122346044	122348241	378782	chr3	122278870	122403377	3_internal_11672
chr4	26624487	26626285	402125	chr4	26319355	26853015	4_internal_8968
chr5	178782610	178784607	467119	chr5	178770258	178940716	5_internal_13331
chr5	178782610	178784607	467119	chr5	178050859	179162004	5_internal_8525
chr5	179026809	179027607	467178	chr5	178050859	179162004	5_internal_8525
chr6	73620368	73622365	483918	chr6	73617657	73627041	6_internal_10872
chr6	73620368	73622365	483918	chr6	73523281	73738438	6_internal_15614
chr12	1386602	1387799	112977	chr12	1386663	1391739	12_internal_10918
chr13	29044350	29046799	143664	chr13	29003441	29051046	13_internal_4338
chr13	42181674	42186271	146509	chr13	41917726	42229862	13_internal_5292
chr20	2926802	2929399	320140	chr20	2801443	3029203	20_internal_4968
chr20	2926802	2929399	320140	chr20	2845858	2969197	20_internal_7367
