PeakID (cmd=annotatePeaks.pl /home/users/a/avalosma/IMMUNE_CELLS/diana_scripts/pathways/trans_hubs_genes/dict_70_1.csv hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ENSG00000155926.9	chr8	134115298	134115298	-	8_internal_7467	NA	promoter-TSS (NM_001282965)	promoter-TSS (NM_001282965)	-452	NM_001045556	6503	Hs.75367	NM_006748	ENSG00000155926	SLA	SLA1|SLAP	Src like adaptor	protein-coding
ENSG00000253593.1	chr8	134898739	134898739	+	8_internal_7467	NA	promoter-TSS (NR_125424)	promoter-TSS (NR_125424)	0	NR_125424	101927822	Hs.129114	NR_125424	ENSG00000253593	LOC101927822	-	uncharacterized LOC101927822	ncRNA
ENSG00000235314.1	chr7	44078770	44078770	+	7_internal_8005	NA	non-coding (NR_015401, exon 1 of 3)	non-coding (NR_015401, exon 1 of 3)	122	NR_072982	255031	Hs.633978	NR_015401		LINC00957	-	long intergenic non-protein coding RNA 957	ncRNA
ENSG00000188056.7	chr6	41196062	41196062	+	6_internal_11876	NA	promoter-TSS (NM_198153)	promoter-TSS (NM_198153)	-25	NM_198153	285852	Hs.434181	NM_198153	ENSG00000188056	TREML4	TLT-4|TLT4	triggering receptor expressed on myeloid cells like 4	protein-coding
ENSG00000218809.1	chr6	41237977	41237977	-	6_internal_11876	NA	intron (NR_136332, intron 4 of 4)	intron (NR_136332, intron 4 of 4)	16443	NM_001242590	54210	Hs.283022	NM_018643	ENSG00000124731	TREM1	CD354|TREM-1	triggering receptor expressed on myeloid cells 1	protein-coding
ENSG00000124731.8	chr6	41254457	41254457	-	6_internal_11876	NA	promoter-TSS (NM_001242590)	promoter-TSS (NM_001242590)	26	NR_136332	54210	Hs.283022	NM_018643	ENSG00000124731	TREM1	CD354|TREM-1	triggering receptor expressed on myeloid cells 1	protein-coding
ENSG00000118495.13	chr6	144385735	144385735	-	6_internal_10090	NA	promoter-TSS (NM_001289040)	promoter-TSS (NM_001289040)	1	NM_001289044	5325	Hs.743225	NM_002656	ENSG00000118495	PLAGL1	LOT1|ZAC|ZAC1	PLAG1 like zinc finger 1	protein-coding
ENSG00000125347.8	chr5	131826490	131826490	-	5_internal_8811	NA	promoter-TSS (NM_002198)	promoter-TSS (NM_002198)	-25	NM_002198	3659	Hs.436061	NM_002198	ENSG00000125347	IRF1	IRF-1|MAR	interferon regulatory factor 1	protein-coding
ENSG00000120129.5	chr5	172198198	172198198	-	5_internal_8538	NA	promoter-TSS (NM_004417)	promoter-TSS (NM_004417)	0	NM_004417	1843	Hs.171695	NM_004417	ENSG00000120129	DUSP1	CL100|HVH1|MKP-1|MKP1|PTPN10	dual specificity phosphatase 1	protein-coding
ENSG00000252213.1	chr5	138611869	138611869	+	5_internal_8127	NA	promoter-TSS (NR_145749)	promoter-TSS (NR_145749)	0	NR_145749	109616975	Hs.742623	NR_145749	ENSG00000252213	SNORA74D	-	small nucleolar RNA, H/ACA box 74D	snoRNA
ENSG00000163576.13	chr3	19988517	19988517	-	3_internal_11034	NA	promoter-TSS (NM_001292048)	promoter-TSS (NM_001292048)	-42	NM_001330688	151651	Hs.733920	NM_144715	ENSG00000163576	EFHB	CFAP21	EF-hand domain family member B	protein-coding
ENSG00000100399.11	chr22	41636938	41636938	-	22_internal_3232	NA	promoter-TSS (NM_138481)	promoter-TSS (NM_138481)	-3	NM_138481	150356	Hs.344488	NM_138481	ENSG00000100399	CHADL	SLRR4B	chondroadherin like	protein-coding
ENSG00000224397.1	chr20	48884023	48884023	+	20_internal_5268	NA	promoter-TSS (NM_001278655)	promoter-TSS (NM_001278655)	0	NM_001278655	100506115	Hs.235484	NM_001278655		SMIM25	GCRL1|LINC01272	small integral membrane protein 25	protein-coding
ENSG00000172216.4	chr20	48807376	48807376	+	20_internal_5268	NA	promoter-TSS (NM_005194)	promoter-TSS (NM_005194)	9	NM_005194	1051	Hs.517106	NM_005194	ENSG00000172216	CEBPB	C/EBP-beta|IL6DBP|NF-IL6|TCF5	CCAAT enhancer binding protein beta	protein-coding
ENSG00000163041.5	chr1	226249552	226249552	+	1_internal_16165	NA	promoter-TSS (NR_002315)	promoter-TSS (NR_002315)	-865	NM_002107	3020	Hs.533624	NM_002107	ENSG00000163041	H3F3A	H3.3A|H3F3	H3 histone family member 3A	protein-coding
ENSG00000203691.2	chr1	225600404	225600404	+	1_internal_16165	NA	intron (NM_194442, intron 7 of 13)	intron (NM_194442, intron 7 of 13)	15336	NM_002296	3930	Hs.435166	NM_002296	ENSG00000143815	LBR	C14SR|DHCR14B|LMN2R|PHA|PHASK|TDRD18	lamin B receptor	protein-coding
ENSG00000127528.5	chr19	16435628	16435628	+	19_internal_6426	NA	promoter-TSS (NM_016270)	promoter-TSS (NM_016270)	-9	NM_016270	10365	Hs.685136	NM_016270	ENSG00000127528	KLF2	LKLF	Kruppel like factor 2	protein-coding
